command|step_num|step_time|step_length|side_step_length|step_angle_rad|logtime|
turn left|4|1|0.2|0.05|0.3|0:0:17|
turn right|4|1|0.2|0.05|0.3|0:0:19|
centerd left|4|1|0.2|0.05|0.3|0:0:19|
centerd right|4|1|0.2|0.05|0.3|0:0:20|
centerd right|4|1|0.15|0.05|0.3|0:0:23|
centerd left|4|3|0.15|0.05|0.3|0:0:27|
centerd right|4|2|0.15|0.05|0.3|0:0:30|
centerd left|4|2|0.15|0.05|0.3|0:0:31|
centerd right|4|2|0.15|0.05|0.3|0:0:32|
centerd left|4|2|0.15|0.05|0.3|0:0:33|
centerd right|4|2|0.15|0.05|0.3|0:0:34|
