command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
forward||ignore|5|2|0.1|0.05|0.1|0:0:32|
forward||ignore|5|2|0.1|0.05|0.1|0:0:32|
right||ignore|5|2|0.1|0.05|0.1|0:0:33|
right||ignore|5|2|0.1|0.05|0.1|0:0:34|
left||ignore|5|2|0.1|0.05|0.1|0:0:36|
left||ignore|5|2|0.1|0.05|0.1|0:0:37|
backward||ignore|5|2|0.1|0.05|0.1|0:0:38|
backward||ignore|5|2|0.1|0.05|0.1|0:0:39|
stop||ignore|5|2|0.1|0.05|0.1|0:0:40|
stop||ignore|5|2|0.1|0.05|0.1|0:0:41|
expanded right||ignore|5|1|0.05|0.05|0.05|0:0:45|
expanded right||ignore|5|1|0.05|0.05|0.05|0:0:45|
expanded left||ignore|5|1|0.05|0.05|0.05|0:0:46|
expanded left||ignore|5|1|0.05|0.05|0.05|0:0:47|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:54|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:55|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:56|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:57|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:58|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:59|
centered right||ignore|5|1|0.02|0.05|0.1|0:1:0|
centered right||ignore|5|1|0.02|0.05|0.1|0:1:1|
centered right||ignore|5|1|0.02|0.05|0.1|0:1:3|
turn left||ignore|5|2|0.1|0.05|0.1|0:1:4|
turn right||ignore|5|2|0.1|0.05|0.1|0:1:5|
centered left||ignore|5|1|0.02|0.05|0.1|0:1:6|
centered right||ignore|5|1|0.02|0.05|0.1|0:1:7|
